reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.8,494,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.85,553,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.9,617,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.95,719,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.975,827,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.99,984,Arizona,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.01,78,Arkansas,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.025,90,Arkansas,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.05,101,Arkansas,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.1,117,Arkansas,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.15,128,Arkansas,Ensemble
2026-02-21,05,0,wk inc flu hosp,2026-02-21,quantile,0.2,136,Arkansas,Ensemble
