reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.3,2,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.35,2,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.4,2,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.45,2,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.5,4,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.55,4,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.6,5,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.65,5,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.7,6,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.75,7,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.8,8,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.85,9,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.9,10,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.95,12,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.975,15,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.99,19,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.01,0,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.025,0,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.05,1,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.1,1,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.15,1,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.2,2,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.25,2,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.3,3,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.35,3,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.4,3,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.45,4,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.5,5,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.55,6,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.6,6,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.65,7,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.7,8,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.75,9,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.8,10,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.85,12,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.9,14,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.95,18,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.975,22,Alaska,Ensemble
2025-11-29,02,1,wk inc flu hosp,2025-12-06,quantile,0.99,29,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.01,0,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.025,0,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.05,1,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.1,1,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.15,2,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.2,2,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.25,3,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.3,3,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.35,3,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.4,4,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.45,4,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.5,6,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.55,7,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.6,8,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.65,9,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.7,10,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.75,11,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.8,13,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.85,15,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.9,18,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.95,24,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.975,31,Alaska,Ensemble
2025-11-29,02,2,wk inc flu hosp,2025-12-13,quantile,0.99,42,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.01,0,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.025,0,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.05,1,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.1,2,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.15,3,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.2,3,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.25,4,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.3,4,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.35,5,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.4,6,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.45,6,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.5,8,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.55,9,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.6,10,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.65,12,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.7,13,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.75,15,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.8,17,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.85,21,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.9,25,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.95,33,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.975,43,Alaska,Ensemble
2025-11-29,02,3,wk inc flu hosp,2025-12-20,quantile,0.99,61,Alaska,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.01,17,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.025,22,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.05,26,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.1,33,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.15,37,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.2,40,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.25,44,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.3,47,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.35,51,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.4,54,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.45,57,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.5,62,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.55,65,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.6,69,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.65,73,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.7,78,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.75,83,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.8,88,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.85,95,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.9,104,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.95,125,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.975,148,Arizona,Ensemble
2025-11-29,04,0,wk inc flu hosp,2025-11-29,quantile,0.99,179,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.01,23,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.025,28,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.05,33,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.1,41,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.15,47,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.2,53,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.25,58,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.3,63,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.35,68,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.4,73,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.45,78,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.5,85,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.55,90,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.6,96,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.65,103,Arizona,Ensemble
2025-11-29,04,1,wk inc flu hosp,2025-12-06,quantile,0.7,110,Arizona,Ensemble
